	CL.1.1	CL.1.2	CL.2.1	CL.2.2	CL.3.1	CL.3.2	Average	log2
56941	295.0066	335.1295	469.7121	480.2182	477.8088	514.8274	428.7837667	8.744106478
2805	350.7301	357.9053	471.2128	441.6605	455.4696	496.2192	428.86625	8.744383976
81888	52.44562386	61.81999813	608.7749395	630.4428338	618.0487328	602.286021	428.9696915	8.744731909
83549	245.8389	266.8021	526.2377	502.2511	521.2459	512.3463	429.1203333	8.745238453
5791	301.5623	221.2505	485.7194	495.2406	549.1698	522.891	429.3056	8.745861182
728026	793.2401	790.6452	231.6046	265.8977	246.3507	248.7299	429.4113667	8.74621657
653162	311.3959	328.6221	500.2259	492.2361	491.4604	454.6608	429.7668667	8.747410451
80745	573.624	660.4979	343.155	331.4958	337.5688	332.4668	429.8013833	8.747526316
23390	468.7328	468.5305	400.1807	410.6141	423.202	409.3808	430.1068167	8.748551186
117145	596.5689714	605.1852449	346.1563337	341.009984	369.2158594	322.5424623	430.1131426	8.748572405
219972	432.6764	344.8905	453.7049	464.1942	443.059	442.2553	430.13005	8.748629115
7541	462.1771	462.0231	420.1898	423.1328	397.7603	416.2038	430.2478167	8.749024061
261734	131.1140596	146.4157851	576.7604808	567.3484755	555.3751163	604.7671169	430.296839	8.749188432
142940	426.1207	462.0231	415.1875	401.0998	441.1974	437.2931	430.4869333	8.749825638
5082	580.1797	585.6631	373.6688	336.0025	371.698	336.1885	430.5667667	8.750093159
56950	570.3461595	536.8578785	386.6746329	379.5676474	361.1489583	349.8345168	430.7382989	8.750667796
100288142	413.0092879	426.2326187	426.1924802	440.6590101	434.3715994	444.1161597	430.763526	8.750752288
100506548	563.7905	566.141	340.6538	344.5152	380.3854	393.874	431.5599833	8.753417286
29886	242.561	185.46	538.7433	552.326	540.4824	530.3342	431.65115	8.753722022
55850	475.2885	432.74	417.6886	416.1223	440.5769	407.52	431.65605	8.753738399
9686	301.5623	296.0853	500.2259	503.2526	492.081	496.8394	431.6744167	8.753799783
2887	278.6174	250.5337	528.2386	483.2227	531.1744	519.1693	431.8260167	8.754306355
145482	803.0736	826.4358	253.6145	242.8632	239.5249	226.4	431.9853333	8.754838521
51684	216.3382	273.3095	542.2449	503.2526	535.5181	521.6504	432.0522833	8.755062096
91949	258.9503	273.3095	520.7352	506.7579	516.9022	516.6882	432.2238833	8.755634983
23132	177.004	162.6842	566.2557	547.8193	573.991	565.6899	432.2406833	8.755691058
9325	491.6777	452.2621	418.1889	410.6141	400.2424	420.5457	432.25515	8.755739342
163131	462.1771	442.501	429.1938	443.1628	406.4477	411.2416	432.454	8.756402872
56998	360.563664	354.6515682	472.2132645	498.2451308	458.5723027	450.9391733	432.5308506	8.756659227
55331	478.5663	572.6484	388.6755	395.5916	378.5238	382.0888	432.6824	8.757164628
55672	311.3958917	302.5926224	498.2250121	488.7309021	472.8445124	523.5112273	432.8833613	8.757834539
10473	645.7367	507.5747	355.6606	388.0804	359.2874	341.771	433.0184667	8.758284742
83982	599.8468	618.2	346.1563	326.4883	354.3231	354.7967	433.3018667	8.759228642
22853	321.2294	348.1442	468.2115	488.7309	494.5631	480.7123	433.5985667	8.760216177
91833	534.2898	520.5895	376.6701	406.1073	379.7649	385.1901	433.7686167	8.760781867
197322	196.6711	204.9821	530.7397	564.8447	557.8572	547.7019	433.79945	8.760884414
1829	616.2361	556.38	364.6647	374.5602	351.2205	340.5304	433.9319833	8.761325115
100505812	803.0736	849.2116	237.6073	239.8587	238.9044	236.3244	434.1633333	8.76209408
201475	839.13	702.7958	258.1166	280.4194	286.0647	240.046	434.42875	8.762975772
3385	301.5623	247.28	526.7379	532.7968	502.0095	496.2192	434.4342833	8.762994148
84342	252.3946	253.7874	538.2431	504.7549	538.0003	519.7896	434.4949833	8.76319571
55848	717.8495	663.7516	319.1441	308.9621	307.1628	290.2882	434.5263833	8.763299966
10401	104.8912477	152.9231533	588.7659028	608.4098833	559.0983014	594.2224594	434.7184913	8.763937654
196463	118.0027	152.9232	560.7533	601.3994	572.1294	603.5266	434.7891	8.764171963
392490	747.3501	634.4684	294.1328	333.4988	293.5111	305.7951	434.7927167	8.764183963
152815	721.1273	566.141	340.1536	316.974	350.5999	316.3397	435.2225833	8.765609609
60493	413.0093	393.6958	439.6986	454.1792	473.465	437.2931	435.2235	8.765612647
51295	101.6134	162.6842	584.2639	581.8702	580.8169	601.0455	435.38235	8.766139113
4091	422.8428	432.74	443.2002	447.6695	451.1259	414.9633	435.4236167	8.766275849
253832	639.181	549.8726	337.6525	365.0459	363.0106	358.5184	435.5468333	8.766684047
123720	531.0119	510.8284	389.676	393.0879	367.9748	421.166	435.6241667	8.766940181
10244	462.1771	331.8758	461.2083	440.659	462.2955	457.7622	435.9963167	8.768172137
5595	249.1167	231.0116	536.2422	511.7654	542.344	545.8411	436.0535	8.768361342
63925	114.7248	126.8937	573.2589	568.35	614.9461	618.4131	436.0977667	8.768507792
51282	104.8912	91.10316	632.7858	610.9136	604.3971	574.994	436.5141433	8.769884589
55120	560.5126	712.5568	338.1527	346.0175	356.1847	305.7951	436.5365667	8.769958697
26024	337.6187	341.6368	482.2178	467.6994	515.6611	475.1299	436.6606167	8.770368607
26164	163.8926	191.9674	578.7614	566.8477	540.4824	579.3359	436.8812333	8.771097324
152579	449.0657	403.4568	452.7045	449.6725	446.1617	420.5457	436.9344833	8.771273159
5329	478.5663	429.4863	424.1916	440.1583	410.7914	439.7742	437.16135	8.772022046
65084	580.1797	582.4095	346.6566	354.0295	391.555	369.063	437.31555	8.772530838
7172	753.9058	621.4537	324.1464	313.9695	297.8548	315.7194	437.8416	8.774265223
84942	249.1167	253.7874	517.7338	543.3125	529.9334	534.0559	437.98995	8.774753956
81488	576.9019	396.9495	406.6837	400.0984	439.3358	408.1403	438.0182667	8.774847226
80227	399.8979	442.501	464.2096	440.659	451.1259	429.8499	438.04055	8.774920618
54850	399.8979	299.3389	471.713	480.2182	473.465	504.903	438.256	8.775630032
654483	504.7891	566.141	374.169	390.0834	412.653	385.1901	438.8376	8.777543332
339044	295.0066	270.0558	535.2417	504.7549	502.0095	525.9923	438.8434667	8.777562619
